"Localidades";"Períodos";"Abastecimento de Água - Nível de Atendimento - Censo Demográfico (Em %)";"Coleta de Lixo - Nível de Atendimento - Censo Demográfico (Em %)";"Esgoto Sanitário - Nível de Atendimento - Censo Demográfico (Em %)";"Cód. IBGE"
"Adamantina";"1991";"99,53";"95,68";"83,53";3500105
"Adamantina";"2000";"99,71";"99,8";"97,63";3500105
"Adamantina";"2010";"99,76";"99,89";"99,03";3500105
"Adolfo";"1991";"98,94";"98,34";"90,92";3500204
"Adolfo";"2000";"98";"99,67";"98,34";3500204
"Adolfo";"2010";"96,76";"99,72";"95,93";3500204
"Aguaí";"1991";"97,76";"97,28";"96,31";3500303
"Aguaí";"2000";"99,18";"98,67";"98,57";3500303
"Aguaí";"2010";"99,29";"99,66";"98,87";3500303
"Águas da Prata";"1991";"92,53";"93,08";"88,49";3500402
"Águas da Prata";"2000";"95,63";"98,12";"89,83";3500402
"Águas da Prata";"2010";"95,84";"99,38";"87,99";3500402
"Águas de Lindóia";"1991";"91,4";"87,15";"89,34";3500501
"Águas de Lindóia";"2000";"93,36";"97,14";"91,94";3500501
"Águas de Lindóia";"2010";"93,54";"98,74";"90,33";3500501
"Águas de Santa Bárbara";"1991";"90,76";"95,21";"64,48";3500550
"Águas de Santa Bárbara";"2000";"98,74";"98,55";"79,13";3500550
"Águas de Santa Bárbara";"2010";"98,53";"100";"75,56";3500550
"Águas de São Pedro";"1991";"99,59";"98,77";"93,43";3500600
"Águas de São Pedro";"2000";"100";"99,84";"98,2";3500600
"Águas de São Pedro";"2010";"99,9";"99,9";"97,47";3500600
"Agudos";"1991";"98,14";"79,3";"84,47";3500709
"Agudos";"2000";"99,33";"97,69";"93,9";3500709
"Agudos";"2010";"99,04";"99,86";"96,91";3500709
"Alambari";"1991";"NA";"NA";"NA";3500758
"Alambari";"2000";"94,22";"98,48";"61,25";3500758
"Alambari";"2010";"96,12";"99,82";"70,55";3500758
"Alfredo Marcondes";"1991";"99,38";"97,35";"92,82";3500808
"Alfredo Marcondes";"2000";"99,63";"99,51";"97,56";3500808
"Alfredo Marcondes";"2010";"98,76";"99,12";"97,35";3500808
"Altair";"1991";"99,44";"98,33";"78,29";3500907
"Altair";"2000";"99,02";"99,3";"83,89";3500907
"Altair";"2010";"98,31";"100";"86,12";3500907
"Altinópolis";"1991";"99,8";"98,74";"98,13";3501004
"Altinópolis";"2000";"99,91";"99,94";"99,69";3501004
"Altinópolis";"2010";"99,93";"99,93";"98,88";3501004
"Alto Alegre";"1991";"99,71";"79,77";"77,76";3501103
"Alto Alegre";"2000";"99,22";"99,22";"90,71";3501103
"Alto Alegre";"2010";"99,36";"99,64";"96,17";3501103
"Alumínio";"1991";"NA";"NA";"NA";3501152
"Alumínio";"2000";"97,49";"98,54";"85,96";3501152
"Alumínio";"2010";"98,49";"99,98";"91,71";3501152
"Álvares Florence";"1991";"87,33";"89,69";"80,12";3501202
"Álvares Florence";"2000";"99,64";"98,44";"97,83";3501202
"Álvares Florence";"2010";"99,49";"99,8";"98,98";3501202
"Álvares Machado";"1991";"83,05";"67,25";"52,89";3501301
"Álvares Machado";"2000";"95,34";"96,25";"61,87";3501301
"Álvares Machado";"2010";"97,98";"99,04";"93,06";3501301
"Álvaro de Carvalho";"1991";"100";"98,87";"-";3501400
"Álvaro de Carvalho";"2000";"99,71";"99,71";"97,2";3501400
"Álvaro de Carvalho";"2010";"99,89";"99,89";"99,23";3501400
"Alvinlândia";"1991";"100";"97,09";"69,73";3501509
"Alvinlândia";"2000";"99,53";"99,84";"93,57";3501509
"Alvinlândia";"2010";"100";"100";"95,62";3501509
"Americana";"1991";"97,92";"97,23";"93,7";3501608
"Americana";"2000";"97,82";"99,63";"93,93";3501608
"Americana";"2010";"98,31";"99,93";"98,37";3501608
"Américo Brasiliense";"1991";"99,81";"99,37";"90,8";3501707
"Américo Brasiliense";"2000";"99,66";"99,63";"99,49";3501707
"Américo Brasiliense";"2010";"99,69";"99,85";"99,51";3501707
"Américo de Campos";"1991";"98,98";"92,36";"88,73";3501806
"Américo de Campos";"2000";"99,58";"99,65";"98,88";3501806
"Américo de Campos";"2010";"99,82";"99,82";"98,98";3501806
"Amparo";"1991";"96,75";"96,6";"93,31";3501905
"Amparo";"2000";"96,5";"98,93";"93,59";3501905
"Amparo";"2010";"93,95";"99,85";"89,47";3501905
"Analândia";"1991";"99,08";"94";"87,07";3502002
"Analândia";"2000";"99,87";"99,6";"86,81";3502002
"Analândia";"2010";"98,73";"100";"93,28";3502002
"Andradina";"1991";"97,78";"91,8";"61,72";3502101
"Andradina";"2000";"98,6";"98,44";"82,98";3502101
"Andradina";"2010";"99,32";"99,47";"90,29";3502101
"Angatuba";"1991";"96,62";"92,05";"71,45";3502200
"Angatuba";"2000";"99,3";"98,98";"97,1";3502200
"Angatuba";"2010";"99,25";"99,6";"96,96";3502200
"Anhembi";"1991";"99,49";"98,12";"93,15";3502309
"Anhembi";"2000";"99,35";"99,89";"98,49";3502309
"Anhembi";"2010";"98,87";"99,85";"97,97";3502309
"Anhumas";"1991";"99,57";"98,29";"66,67";3502408
"Anhumas";"2000";"99,58";"99,86";"94,35";3502408
"Anhumas";"2010";"99,89";"100";"99,47";3502408
"Aparecida";"1991";"97,72";"96,54";"95,98";3502507
"Aparecida";"2000";"98,5";"98,33";"96,73";3502507
"Aparecida";"2010";"99,33";"99,01";"97,01";3502507
"Aparecida d'Oeste";"1991";"99,9";"98,96";"71,82";3502606
"Aparecida d'Oeste";"2000";"99,66";"99,83";"90,02";3502606
"Aparecida d'Oeste";"2010";"99,69";"100";"96,99";3502606
"Apiaí";"1991";"93,67";"86,04";"61,2";3502705
"Apiaí";"2000";"97,41";"94,43";"74,16";3502705
"Apiaí";"2010";"96,85";"97,86";"69,96";3502705
"Aramina";"1991";"100";"93,11";"90,05";3503000
"Aramina";"2000";"99,83";"100";"99,34";3503000
"Aramina";"2010";"99,87";"99,09";"97,14";3503000
"Arandu";"1991";"95,04";"95,91";"90,36";3503109
"Arandu";"2000";"96,34";"98,59";"95,21";3503109
"Arandu";"2010";"95,06";"99,37";"94,64";3503109
"Arapeí";"1991";"NA";"NA";"NA";3503158
"Arapeí";"2000";"96,01";"97,72";"66,35";3503158
"Arapeí";"2010";"96,71";"99,34";"59,38";3503158
"Araraquara";"1991";"99,04";"96,4";"96,12";3503208
"Araraquara";"2000";"99,45";"99,81";"98,86";3503208
"Araraquara";"2010";"99,43";"99,96";"98,89";3503208
"Araras";"1991";"99,59";"99,34";"99,06";3503307
"Araras";"2000";"99,93";"99,93";"99,48";3503307
"Araras";"2010";"99,91";"99,95";"99,79";3503307
"Araçariguama";"1991";"NA";"NA";"NA";3502754
"Araçariguama";"2000";"93,91";"99,08";"67,48";3502754
"Araçariguama";"2010";"68,14";"91,23";"53,42";3502754
"Araçatuba";"1991";"97,92";"97,04";"92,37";3502804
"Araçatuba";"2000";"98,95";"98,73";"97,89";3502804
"Araçatuba";"2010";"99,04";"99,85";"98,65";3502804
"Araçoiaba da Serra";"1991";"66,24";"92,01";"40,48";3502903
"Araçoiaba da Serra";"2000";"80,91";"98,26";"48,77";3502903
"Araçoiaba da Serra";"2010";"81,95";"99,71";"40,67";3502903
"Arco-Íris";"1991";"NA";"NA";"NA";3503356
"Arco-Íris";"2000";"99,34";"99,01";"97,37";3503356
"Arco-Íris";"2010";"100";"99,73";"98,14";3503356
"Arealva";"1991";"94,63";"91,6";"82,42";3503406
"Arealva";"2000";"95,97";"98,11";"90,42";3503406
"Arealva";"2010";"96,44";"99,67";"90,71";3503406
"Areias";"1991";"94";"60,25";"72";3503505
"Areias";"2000";"88,13";"98,54";"78,54";3503505
"Areias";"2010";"99,31";"99,59";"86,91";3503505
"Areiópolis";"1991";"98,96";"98,33";"93,96";3503604
"Areiópolis";"2000";"99,1";"99,55";"98,83";3503604
"Areiópolis";"2010";"98,86";"99,89";"98,97";3503604
"Ariranha";"1991";"99,77";"99,62";"98,63";3503703
"Ariranha";"2000";"100";"100";"100";3503703
"Ariranha";"2010";"95,85";"100";"99,26";3503703
"Artur Nogueira";"1991";"99,3";"99,12";"95,89";3503802
"Artur Nogueira";"2000";"97,43";"99,18";"97,49";3503802
"Artur Nogueira";"2010";"97,82";"99,89";"96,26";3503802
"Arujá";"1991";"81,8";"87,07";"-";3503901
"Arujá";"2000";"89,68";"96,67";"28,15";3503901
"Arujá";"2010";"95,99";"99,65";"58,3";3503901
"Aspásia";"1991";"NA";"NA";"NA";3503950
"Aspásia";"2000";"98,59";"99,72";"97,18";3503950
"Aspásia";"2010";"99,06";"100";"99,06";3503950
"Assis";"1991";"99,43";"94,66";"86,67";3504008
"Assis";"2000";"99,27";"99,42";"98,31";3504008
"Assis";"2010";"99,16";"99,85";"98,52";3504008
"Atibaia";"1991";"64,9";"83,01";"40,93";3504107
"Atibaia";"2000";"74,8";"95,36";"55,31";3504107
"Atibaia";"2010";"82,01";"99,46";"56,82";3504107
"Auriflama";"1991";"98,07";"96,43";"51,54";3504206
"Auriflama";"2000";"98,13";"98,27";"91,25";3504206
"Auriflama";"2010";"98,15";"98,63";"96,92";3504206
"Avaí";"1991";"96,01";"92,5";"86,6";3504305
"Avaí";"2000";"90,91";"91,13";"86,64";3504305
"Avaí";"2010";"97,5";"99,72";"95,38";3504305
"Avanhandava";"1991";"97,62";"94,49";"84,22";3504404
"Avanhandava";"2000";"99,17";"99,03";"94,73";3504404
"Avanhandava";"2010";"99,52";"99,97";"99,31";3504404
"Avaré";"1991";"97,44";"96,23";"94,18";3504503
"Avaré";"2000";"98,18";"99,24";"96,57";3504503
"Avaré";"2010";"98,12";"99,66";"96,84";3504503
"Bady Bassitt";"1991";"99,42";"99,51";"69,61";3504602
"Bady Bassitt";"2000";"98,26";"98,78";"97,57";3504602
"Bady Bassitt";"2010";"98,77";"99,91";"99,45";3504602
"Balbinos";"1991";"96";"94,5";"85";3504701
"Balbinos";"2000";"100";"99,08";"97,86";3504701
"Balbinos";"2010";"99,27";"99,76";"98,29";3504701
"Bálsamo";"1991";"97,86";"97,86";"96,63";3504800
"Bálsamo";"2000";"98,63";"99,03";"98,12";3504800
"Bálsamo";"2010";"98,86";"99,53";"98,82";3504800
"Bananal";"1991";"92,68";"81,49";"59,1";3504909
"Bananal";"2000";"96,25";"97,65";"81,56";3504909
"Bananal";"2010";"97,46";"99,47";"94,39";3504909
"Barão de Antonina";"1991";"98,57";"90";"66,67";3505005
"Barão de Antonina";"2000";"98,38";"92,51";"78,34";3505005
"Barão de Antonina";"2010";"99,54";"99,07";"84,08";3505005
"Barbosa";"1991";"99,72";"99,06";"91,74";3505104
"Barbosa";"2000";"99,38";"99,17";"97,16";3505104
"Barbosa";"2010";"98,77";"99,89";"98,44";3505104
"Bariri";"1991";"99,74";"99,13";"98,37";3505203
"Bariri";"2000";"99,76";"99,86";"99,71";3505203
"Bariri";"2010";"99,61";"99,89";"99,52";3505203
"Barra Bonita";"1991";"99,89";"99,32";"99,36";3505302
"Barra Bonita";"2000";"99,91";"99,53";"99,73";3505302
"Barra Bonita";"2010";"99,93";"99,88";"99,74";3505302
"Barra do Chapéu";"1991";"NA";"NA";"NA";3505351
"Barra do Chapéu";"2000";"89,38";"80,57";"46,37";3505351
"Barra do Chapéu";"2010";"94,97";"96,86";"65,62";3505351
"Barra do Turvo";"1991";"90,85";"64,45";"35,55";3505401
"Barra do Turvo";"2000";"98,73";"97,74";"71,29";3505401
"Barra do Turvo";"2010";"97,03";"100";"76,58";3505401
"Barretos";"1991";"97,32";"93,11";"92,4";3505500
"Barretos";"2000";"98,7";"98,89";"97,77";3505500
"Barretos";"2010";"98,88";"99,7";"98,26";3505500
"Barrinha";"1991";"98,85";"97,89";"96,72";3505609
"Barrinha";"2000";"99,04";"98,9";"98,61";3505609
"Barrinha";"2010";"99,57";"99,77";"97,26";3505609
"Barueri";"1991";"95,6";"97,13";"62,19";3505708
"Barueri";"2000";"97,59";"99,29";"79,33";3505708
"Barueri";"2010";"99,26";"99,92";"90,95";3505708
"Bastos";"1991";"99,7";"98,84";"96,45";3505807
"Bastos";"2000";"99,38";"99,09";"98,81";3505807
"Bastos";"2010";"99,53";"99,8";"99,33";3505807
"Batatais";"1991";"99,29";"99,2";"97,81";3505906
"Batatais";"2000";"99,3";"99,5";"98,59";3505906
"Batatais";"2010";"99,73";"99,84";"99,28";3505906
"Bauru";"1991";"97,92";"86,08";"89,95";3506003
"Bauru";"2000";"98,9";"98,68";"96,61";3506003
"Bauru";"2010";"98,86";"99,61";"97,79";3506003
"Bebedouro";"1991";"99,54";"98,85";"98,8";3506102
"Bebedouro";"2000";"99,67";"99,51";"99,06";3506102
"Bebedouro";"2010";"99,62";"99,85";"99,69";3506102
"Bento de Abreu";"1991";"99,78";"99,56";"98,89";3506201
"Bento de Abreu";"2000";"99,65";"99,83";"99,83";3506201
"Bento de Abreu";"2010";"99,87";"100";"100";3506201
"Bernardino de Campos";"1991";"99,36";"96,54";"92,63";3506300
"Bernardino de Campos";"2000";"99,6";"99,42";"98,77";3506300
"Bernardino de Campos";"2010";"99,9";"99,94";"99,81";3506300
"Bertioga";"1991";"NA";"NA";"NA";3506359
"Bertioga";"2000";"92,1";"97,67";"19,49";3506359
"Bertioga";"2010";"90,2";"99,68";"30,81";3506359
"Bilac";"1991";"99,4";"97,15";"73,25";3506409
"Bilac";"2000";"99,57";"99,13";"98,64";3506409
"Bilac";"2010";"99,64";"99,55";"98,82";3506409
"Birigui";"1991";"99,18";"99,03";"87,79";3506508
"Birigui";"2000";"99,03";"98,93";"98,33";3506508
"Birigui";"2010";"98,92";"99,73";"99,27";3506508
"Biritiba Mirim";"1991";"51,86";"73,62";"32,69";3506607
"Biritiba Mirim";"2000";"71,4";"89,43";"43,48";3506607
"Biritiba Mirim";"2010";"76,33";"97,63";"70,34";3506607
"Boa Esperança do Sul";"1991";"99,04";"98,18";"91,48";3506706
"Boa Esperança do Sul";"2000";"99,8";"99,56";"99,06";3506706
"Boa Esperança do Sul";"2010";"99,97";"99,89";"99,46";3506706
"Bocaina";"1991";"95,85";"95,48";"93,59";3506805
"Bocaina";"2000";"98,37";"98,98";"96,63";3506805
"Bocaina";"2010";"97,61";"98,66";"96,76";3506805
"Bofete";"1991";"95,23";"85,99";"-";3506904
"Bofete";"2000";"96,45";"96,58";"94,11";3506904
"Bofete";"2010";"96,11";"99,49";"94,23";3506904
"Boituva";"1991";"96,72";"93,74";"57,93";3507001
"Boituva";"2000";"90,7";"96,94";"78,82";3507001
"Boituva";"2010";"92,9";"99,54";"86,31";3507001
"Bom Jesus dos Perdões";"1991";"81,74";"86,85";"58,43";3507100
"Bom Jesus dos Perdões";"2000";"94,89";"99,63";"88,57";3507100
"Bom Jesus dos Perdões";"2010";"96,94";"99,93";"84,31";3507100
"Bom Sucesso de Itararé";"1991";"NA";"NA";"NA";3507159
"Bom Sucesso de Itararé";"2000";"96,92";"99,12";"85,71";3507159
"Bom Sucesso de Itararé";"2010";"97,62";"99,41";"94,21";3507159
"Borá";"1991";"100";"99,12";"96,46";3507209
"Borá";"2000";"100";"100";"100";3507209
"Borá";"2010";"100";"100";"100";3507209
"Boracéia";"1991";"97,62";"97,62";"95,25";3507308
"Boracéia";"2000";"98,83";"99,06";"98,83";3507308
"Boracéia";"2010";"98,76";"98,85";"98,68";3507308
"Borborema";"1991";"99,65";"98,01";"95,84";3507407
"Borborema";"2000";"99,56";"99,59";"97,89";3507407
"Borborema";"2010";"98,49";"99,91";"96,17";3507407
"Borebi";"1991";"NA";"NA";"NA";3507456
"Borebi";"2000";"99,75";"100";"99,25";3507456
"Borebi";"2010";"99,84";"99,51";"98,86";3507456
"Botucatu";"1991";"98,6";"92,93";"90,13";3507506
"Botucatu";"2000";"98,63";"98,41";"94,13";3507506
"Botucatu";"2010";"98,96";"99,66";"95,65";3507506
"Bragança Paulista";"1991";"89,53";"94,05";"78,85";3507605
"Bragança Paulista";"2000";"94,58";"99";"84,54";3507605
"Bragança Paulista";"2010";"90,5";"99,63";"81,24";3507605
"Braúna";"1991";"99,87";"99,6";"84,14";3507704
"Braúna";"2000";"99,4";"98,9";"95,89";3507704
"Braúna";"2010";"99,35";"99,57";"97,92";3507704
"Brejo Alegre";"1991";"NA";"NA";"NA";3507753
"Brejo Alegre";"2000";"98,21";"100";"54,08";3507753
